sentence_id	sentence	yomi	monophone
065	レギュラーメンバーの顔写真をクリックした後にムービープレイヤー風に再生されるという特異な形式となっている	レギュラーメンバーノカオジャシンヲクリックシタノチニムービープレイヤーフーニサイセイサレルトユウトクイナケイシキトナッテイル	r/e,gy/u,r/a:,m/e,N,b/a:,n/o,k/a,o,j/a,sh/i,N,o,k/u,r/i,q,k/u,sh/i,t/a,n/o,ch/i,n/i,m/u:,b/i:,p/u,r/e,i,y/a:,f/u:,n/i,s/a,i,s/e,i,s/a,r/e,r/u,t/o,y/u,u,t/o,k/u,i,n/a,k/e,i,sh/i,k/i,t/o,n/a,q,t/e,i,r/u
066	肝臓への酸素供給は肝動脈と低圧系の門脈を介して行われている	カンゾーエノサンソキョーキューワカンドーミャクトテイアツケイノモンミャクヲカイシテオコナワレテイル	k/a,N,z/o:,e,n/o,s/a,N,s/o,ky/o:,ky/u:,w/a,k/a,N,d/o:,my/a,k/u,t/o,t/e,i,a,ts/u,k/e,i,n/o,m/o,N,my/a,k/u,o,k/a,i,sh/i,t/e,o,k/o,n/a,w/a,r/e,t/e,i,r/u
067	デッドキーはタイプライターやコンピュータのキーボードにおける特殊な修飾キーである	デッドキーワタイプライターヤコンピュータノキーボードニオケルトクシュナシューショクキーデアル	d/e,q,d/o,k/i:,w/a,t/a,i,p/u,r/a,i,t/a:,y/a,k/o,N,py/u:,t/a,n/o,k/i:,b/o:,d/o,n/i,o,k/e,r/u,t/o,k/u,sh/u,n/a,sh/u:,sh/o,k/u,k/i:,d/e,a,r/u
068	シャンシャン馬は鵜戸神宮へ参拝する新婚夫婦が乗っていた馬のこと	シャンシャンウマワウドジングーエサンパイスルシンコンフーフガノッテイタウマノコト	sh/a,N,sh/a,N,u,m/a,w/a,u,d/o,j/i,N,g/u:,e,s/a,N,p/a,i,s/u,r/u,sh/i,N,k/o,N,f/u:,f/u,g/a,n/o,q,t/e,i,t/a,u,m/a,n/o,k/o,t/o
069	ブルーリッジ山脈の源流からリッチモンドまで多くの早瀬や淵が釣りや急流くだりを楽しませてくれる	ブルーリッジサンミャクノゲンリューカラリッチモンドマデオークノハヤセヤフチガツリヤキューリュークダリヲタノシマセテクレル	b/u,r/u:,r/i,q,j/i,s/a,N,my/a,k/u,n/o,g/e,N,ry/u:,k/a,r/a,r/i,q,ch/i,m/o,N,d/o,m/a,d/e,o:,k/u,n/o,h/a,y/a,s/e,y/a,f/u,ch/i,g/a,ts/u,r/i,y/a,ky/u:,ry/u:,k/u,d/a,r/i,o,t/a,n/o,sh/i,m/a,s/e,t/e,k/u,r/e,r/u
070	ボーハンはイーストマンらギャングのスピークイージーの上がりから賄賂を取っていたとも噂された	ボーハンワイーストマンラギャングノスピークイージーノアガリカラワイロヲトッテイタトモウワササレタ	b/o:,h/a,N,w/a,i:,s/u,t/o,m/a,N,r/a,gy/a,N,g/u,n/o,s/u,p/i:,k/u,i:,j/i:,n/o,a,g/a,r/i,k/a,r/a,w/a,i,r/o,o,t/o,q,t/e,i,t/a,t/o,m/o,u,w/a,s/a,s/a,r/e,t/a
071	ペンシルベニア州フィラデルフィアの郊外ウィンウッドのランケナウ病院で生まれた	ペンシルベニアシューフィラデルフィアノコーガイウィンウッドノランケナウビョーインデウマレタ	p/e,N,sh/i,r/u,b/e,n/i,a,sh/u:,f/i,r/a,d/e,r/u,f/i,a,n/o,k/o:,g/a,i,w/i,N,u,q,d/o,n/o,r/a,N,k/e,n/a,u,by/o:,i,N,d/e,u,m/a,r/e,t/a
072	ブラッグはビューエル軍よりも劣勢だったためにこの機会を生かすことを躊躇した	ブラッグワビューエルグンヨリモレッセイダッタタメニコノキカイヲイカスコトヲチューチョシタ	b/u,r/a,q,g/u,w/a,by/u:,e,r/u,g/u,N,y/o,r/i,m/o,r/e,q,s/e,i,d/a,q,t/a,t/a,m/e,n/i,k/o,n/o,k/i,k/a,i,o,i,k/a,s/u,k/o,t/o,o,ch/u:,ch/o,sh/i,t/a
073	上院議員としてバーンウェルはカリフォルニア州の連邦加入に賛成した	ジョーインギーントシテバーンウェルワカリフォルニアシューノレンポーカニューニサンセイシタ	j/o:,i,N,g/i:,N,t/o,sh/i,t/e,b/a:,N,w/e,r/u,w/a,k/a,r/i,f/o,r/u,n/i,a,sh/u:,n/o,r/e,N,p/o:,k/a,ny/u:,n/i,s/a,N,s/e,i,sh/i,t/a
074	レジェンドシリーズをベースにヨーフリー機構を備えたビューカメラ	レジェンドシリーズヲベースニヨーフリーキコーヲソナエタビューカメラ	r/e,j/e,N,d/o,sh/i,r/i:,z/u,o,b/e:,s/u,n/i,y/o:,f/u,r/i:,k/i,k/o:,o,s/o,n/a,e,t/a,by/u:,k/a,m/e,r/a
075	楽曲のセンターポジションはAKB48の高橋みなみが務めた	ガッキョクノセンターポジションワエーケービーフォーティエイトノタカハシミナミガツトメタ	g/a,q,ky/o,k/u,n/o,s/e,N,t/a:,p/o,j/i,sh/o,N,w/a,e:,k/e:,b/i:,f/o:,t/i,e,i,t/o,n/o,t/a,k/a,h/a,sh/i,m/i,n/a,m/i,g/a,ts/u,t/o,m/e,t/a
076	ディオニューソスの寵愛を受けるオイネウス王と妃アルタイアーの間にカリュドーンの王女として生を受けた	ディオニューソスノチョーアイヲウケルオイネウスオートキサキアルタイアーノアイダニカリュドーンノオージョトシテセイヲウケタ	d/i,o,ny/u:,s/o,s/u,n/o,ch/o:,a,i,o,u,k/e,r/u,o,i,n/e,u,s/u,o:,t/o,k/i,s/a,k/i,a,r/u,t/a,i,a:,n/o,a,i,d/a,n/i,k/a,ry/u,d/o:,N,n/o,o:,j/o,t/o,sh/i,t/e,s/e,i,o,u,k/e,t/a
077	大西洋上の巡航高度から動力なしで地上へ滑空飛行し緊急着陸に成功した	タイセイヨウジョウノジュンコーコードカラドーリョクナシデチジョウエカックーヒコーシキンキューチャクリクニセイコーシタ	t/a,i,s/e,i,y/o,u,j/o,u,n/o,j/u,N,k/o:,k/o:,d/o,k/a,r/a,d/o:,ry/o,k/u,n/a,sh/i,d/e,ch/i,j/o,u,e,k/a,q,k/u:,h/i,k/o:,sh/i,k/i,N,ky/u:,ch/a,k/u,r/i,k/u,n/i,s/e,i,k/o:,sh/i,t/a
078	表現行列の指標表を分子の対称性を表す点群の指標表を用いて既約表現へ分解する	ヒョーゲンギョーレツノシヒョーヒョーヲブンシノタイショーセイヲアラワステングンノシヒョーヒョーヲモチイテキヤクヒョーゲンエブンカイスル	hy/o:,g/e,N,gy/o:,r/e,ts/u,n/o,sh/i,hy/o:,hy/o:,o,b/u,N,sh/i,n/o,t/a,i,sh/o:,s/e,i,o,a,r/a,w/a,s/u,t/e,N,g/u,N,n/o,sh/i,hy/o:,hy/o:,o,m/o,ch/i,i,t/e,k/i,y/a,k/u,hy/o:,g/e,N,e,b/u,N,k/a,i,s/u,r/u
079	大洋漁業オーナーの中部謙吉の命を受けてプロ野球球団の大洋ホエールズに関わる	タイヨーギョギョーオーナーノナカベケンキチノメイヲウケテプロヤキューキューダンノタイヨーホエールズニカカワル	t/a,i,y/o:,gy/o,gy/o:,o:,n/a:,n/o,n/a,k/a,b/e,k/e,N,k/i,ch/i,n/o,m/e,i,o,u,k/e,t/e,p/u,r/o,y/a,ky/u:,ky/u:,d/a,N,n/o,t/a,i,y/o:,h/o,e:,r/u,z/u,n/i,k/a,k/a,w/a,r/u
080	かすかに聞こえてくる1931年版の讃美歌が次第に大きくなっていく	カスカニキコエテクルセンキュウヒャクサンジュウイチネンバンノサンビカガシダイニオーキクナッテイク	k/a,s/u,k/a,n/i,k/i,k/o,e,t/e,k/u,r/u,s/e,N,ky/u,u,hy/a,k/u,s/a,N,j/u,u,i,ch/i,n/e,N,b/a,N,n/o,s/a,N,b/i,k/a,g/a,sh/i,d/a,i,n/i,o:,k/i,k/u,n/a,q,t/e,i,k/u
081	モーイーデーン岩壁地域の上部はプラーサートプラウィハーン寺院遺跡へ繋がるタイ側参道に続いている	モーイーデーンガンペキチイキノジョーブワプラーサートプラウィハーンジインイセキエツナガルタイガワサンドーニツズイテイル	m/o:,i:,d/e:,N,g/a,N,p/e,k/i,ch/i,i,k/i,n/o,j/o:,b/u,w/a,p/u,r/a:,s/a:,t/o,p/u,r/a,w/i,h/a:,N,j/i,i,N,i,s/e,k/i,e,ts/u,n/a,g/a,r/u,t/a,i,g/a,w/a,s/a,N,d/o:,n/i,ts/u,z/u,i,t/e,i,r/u
082	カーミラ星と呼ばれている惑星から宇宙船に乗って地球に侵入した宇宙人	カーミラセイトヨバレテイルワクセイカラウチュウセンニノッテチキューニシンニューシタウチュージン	k/a:,m/i,r/a,s/e,i,t/o,y/o,b/a,r/e,t/e,i,r/u,w/a,k/u,s/e,i,k/a,r/a,u,ch/u,u,s/e,N,n/i,n/o,q,t/e,ch/i,ky/u:,n/i,sh/i,N,ny/u:,sh/i,t/a,u,ch/u:,j/i,N
083	ドッガーバンクはタラやニシンの漁獲量が多い重要な漁場である	ドッガーバンクワタラヤニシンノギョカクリョーガオーイジューヨーナリョーバデアル	d/o,q,g/a:,b/a,N,k/u,w/a,t/a,r/a,y/a,n/i,sh/i,N,n/o,gy/o,k/a,k/u,ry/o:,g/a,o:,i,j/u:,y/o:,n/a,ry/o:,b/a,d/e,a,r/u
084	少年時代はロシア帝国チェルニーヒウ県プルィルークィ郡トロスチャヌィーツャ村で過ごした	ショーネンジダイワロシアテイコクチェルニーヒウケンプルィルークィグントロスチャヌィーツャムラデスゴシタ	sh/o:,n/e,N,j/i,d/a,i,w/a,r/o,sh/i,a,t/e,i,k/o,k/u,ch/e,r/u,n/i:,h/i,u,k/e,N,p/u,r/u,i,r/u:,k/u,i,g/u,N,t/o,r/o,s/u,ch/a,n/u,i:,ch/a,m/u,r/a,d/e,s/u,g/o,sh/i,t/a
085	遺灰のほとんどはスウェーデン西海岸のブーヒュースレーン地方の小島にある漁村フヤルバッカ周辺の海に散骨された	イハイノホトンドワスウェーデンニシカイガンノブーヒュースレーンチホーノコジマニアルギョソンフヤルバッカシューヘンノウミニサンコツサレタ	i,h/a,i,n/o,h/o,t/o,N,d/o,w/a,s/u,w/e:,d/e,N,n/i,sh/i,k/a,i,g/a,N,n/o,b/u:,hy/u:,s/u,r/e:,N,ch/i,h/o:,n/o,k/o,j/i,m/a,n/i,a,r/u,gy/o,s/o,N,f/u,y/a,r/u,b/a,q,k/a,sh/u:,h/e,N,n/o,u,m/i,n/i,s/a,N,k/o,ts/u,s/a,r/e,t/a
086	国境を越えて列車は改良された在来線に沿ってアーヘン中央駅に向かう	コッキョーヲコエテレッシャワカイリョーサレタザイライセンニソッテアーヘンチュウオウエキニムカウ	k/o,q,ky/o:,o,k/o,e,t/e,r/e,q,sh/a,w/a,k/a,i,ry/o:,s/a,r/e,t/a,z/a,i,r/a,i,s/e,N,n/i,s/o,q,t/e,a:,h/e,N,ch/u,u,o,u,e,k/i,n/i,m/u,k/a,u
087	福岡ダイエーホークスではなく長距離砲の補強を目指していた大阪近鉄バファローズからオファーを受けて入団	フクオカダイエーホークスデワナクチョーキョリホーノホキョーヲメザシテイタオーサカキンテツバファローズカラオファーヲウケテニューダン	f/u,k/u,o,k/a,d/a,i,e:,h/o:,k/u,s/u,d/e,w/a,n/a,k/u,ch/o:,ky/o,r/i,h/o:,n/o,h/o,ky/o:,o,m/e,z/a,sh/i,t/e,i,t/a,o:,s/a,k/a,k/i,N,t/e,ts/u,b/a,f/a,r/o:,z/u,k/a,r/a,o,f/a:,o,u,k/e,t/e,ny/u:,d/a,N
088	そこには百ドル札とアメリカに来いという短いメッセージだけだった	ソコニワヒャクドルサツトアメリカニコイトユウミジカイメッセージダケダッタ	s/o,k/o,n/i,w/a,hy/a,k/u,d/o,r/u,s/a,ts/u,t/o,a,m/e,r/i,k/a,n/i,k/o,i,t/o,y/u,u,m/i,j/i,k/a,i,m/e,q,s/e:,j/i,d/a,k/e,d/a,q,t/a
089	現在はバッハをモチーフとしたハープシコードの作曲家として記憶されている	ゲンザイワバッハヲモチーフトシタハープシコードノサッキョクカトシテキオクサレテイル	g/e,N,z/a,i,w/a,b/a,q,h/a,o,m/o,ch/i:,f/u,t/o,sh/i,t/a,h/a:,p/u,sh/i,k/o:,d/o,n/o,s/a,q,ky/o,k/u,k/a,t/o,sh/i,t/e,k/i,o,k/u,s/a,r/e,t/e,i,r/u
090	戦闘服は両腕を露出し両脚がアンダースーツで覆われている	セントーフクワリョーウデヲロシュツシリョーキャクガアンダースーツデオオワレテイル	s/e,N,t/o:,f/u,k/u,w/a,ry/o:,u,d/e,o,r/o,sh/u,ts/u,sh/i,ry/o:,ky/a,k/u,g/a,a,N,d/a:,s/u:,ts/u,d/e,o,o,w/a,r/e,t/e,i,r/u
091	同母姉にスウェーデン王妃ジョゼフィーヌがいる	ドーボシニスウェーデンオーヒジョゼフィーヌガイル	d/o:,b/o,sh/i,n/i,s/u,w/e:,d/e,N,o:,h/i,j/o,z/e,f/i:,n/u,g/a,i,r/u
092	紫外線は表面エネルギーの小さいポリマーを接着する際の前処理に利用される	シガイセンワヒョーメンエネルギーノチーサイポリマーヲセッチャクスルサイノマエショリニリヨーサレル	sh/i,g/a,i,s/e,N,w/a,hy/o:,m/e,N,e,n/e,r/u,g/i:,n/o,ch/i:,s/a,i,p/o,r/i,m/a:,o,s/e,q,ch/a,k/u,s/u,r/u,s/a,i,n/o,m/a,e,sh/o,r/i,n/i,r/i,y/o:,s/a,r/e,r/u
093	自身のページでメッセージや公開コメントを通してレビューを投稿したユーザーとコミュニケーションを取ることが可能である	ジシンノページデメッセージヤコーカイコメントヲトーシテレビューヲトーコーシタユーザートコミュニケーションヲトルコトガカノーデアル	j/i,sh/i,N,n/o,p/e:,j/i,d/e,m/e,q,s/e:,j/i,y/a,k/o:,k/a,i,k/o,m/e,N,t/o,o,t/o:,sh/i,t/e,r/e,by/u:,o,t/o:,k/o:,sh/i,t/a,y/u:,z/a:,t/o,k/o,my/u,n/i,k/e:,sh/o,N,o,t/o,r/u,k/o,t/o,g/a,k/a,n/o:,d/e,a,r/u
094	若き日の反逆ゆえに宇宙の中央を追放されて惑星地球にやってきた主人公ベルゼバブが宇宙船カルナークのなかで孫に語る壮大な物語	ワカキヒノハンギャクユエニウチューノチューオーヲツイホーサレテワクセイチキューニヤッテキタシュジンコーベルゼバブガウチュウセンカルナークノナカデマゴニカタルソーダイナモノガタリ	w/a,k/a,k/i,h/i,n/o,h/a,N,gy/a,k/u,y/u,e,n/i,u,ch/u:,n/o,ch/u:,o:,o,ts/u,i,h/o:,s/a,r/e,t/e,w/a,k/u,s/e,i,ch/i,ky/u:,n/i,y/a,q,t/e,k/i,t/a,sh/u,j/i,N,k/o:,b/e,r/u,z/e,b/a,b/u,g/a,u,ch/u,u,s/e,N,k/a,r/u,n/a:,k/u,n/o,n/a,k/a,d/e,m/a,g/o,n/i,k/a,t/a,r/u,s/o:,d/a,i,n/a,m/o,n/o,g/a,t/a,r/i
095	ジャガーとは対照的にボディービルダーを髣髴とさせるマッチョな体育会系の外見が特徴	ジャガートワタイショーテキニボディービルダーヲホーフツトサセルマッチョナタイークカイケイノガイケンガトクチョー	j/a,g/a:,t/o,w/a,t/a,i,sh/o:,t/e,k/i,n/i,b/o,d/i:,b/i,r/u,d/a:,o,h/o:,f/u,ts/u,t/o,s/a,s/e,r/u,m/a,q,ch/o,n/a,t/a,i:,k/u,k/a,i,k/e,i,n/o,g/a,i,k/e,N,g/a,t/o,k/u,ch/o:
096	ペンシルベニア州ピッツバーグのアレゲーニー高校を卒業しカリフォルニア大学バークレー校に入学	ペンシルベニアシューピッツバーグノアレゲーニーコーコーヲソツギョーシカリフォルニアダイガクバークレーコウニニュウガク	p/e,N,sh/i,r/u,b/e,n/i,a,sh/u:,p/i,q,ts/u,b/a:,g/u,n/o,a,r/e,g/e:,n/i:,k/o:,k/o:,o,s/o,ts/u,gy/o:,sh/i,k/a,r/i,f/o,r/u,n/i,a,d/a,i,g/a,k/u,b/a:,k/u,r/e:,k/o,u,n/i,ny/u,u,g/a,k/u
097	この概念の導入によって様々なバリエーションの流体のコンピューターシミュレーションが高い精度で可能となった	コノガイネンノドーニューニヨッテサマザマナバリエーションノリュータイノコンピューターシミュレーションガタカイセイドデカノートナッタ	k/o,n/o,g/a,i,n/e,N,n/o,d/o:,ny/u:,n/i,y/o,q,t/e,s/a,m/a,z/a,m/a,n/a,b/a,r/i,e:,sh/o,N,n/o,ry/u:,t/a,i,n/o,k/o,N,py/u:,t/a:,sh/i,my/u,r/e:,sh/o,N,g/a,t/a,k/a,i,s/e,i,d/o,d/e,k/a,n/o:,t/o,n/a,q,t/a
098	乾ドックに入渠してオーバーホールすべきかどうかパフォーマンスがチェックされた	カンドックニニューキョシテオーバーホールスベキカドーカパフォーマンスガチェックサレタ	k/a,N,d/o,q,k/u,n/i,ny/u:,ky/o,sh/i,t/e,o:,b/a:,h/o:,r/u,s/u,b/e,k/i,k/a,d/o:,k/a,p/a,f/o:,m/a,N,s/u,g/a,ch/e,q,k/u,s/a,r/e,t/a
099	デビューウェイトはスーパーバンタム級ではなくフェザー級だった	デビューウェイトワスーパーバンタムキューデワナクフェザーキューダッタ	d/e,by/u:,w/e,i,t/o,w/a,s/u:,p/a:,b/a,N,t/a,m/u,ky/u:,d/e,w/a,n/a,k/u,f/e,z/a:,ky/u:,d/a,q,t/a
100	アーリーは降雨の中を南のバージニア州ウィンチェスター近くのフィッシャーズヒルまで軍を退いた	アーリーワコーウノナカヲミナミノバージニアシューウィンチェスターチカクノフィッシャーズヒルマデグンヲシリゾイタ	a:,r/i:,w/a,k/o:,u,n/o,n/a,k/a,o,m/i,n/a,m/i,n/o,b/a:,j/i,n/i,a,sh/u:,w/i,N,ch/e,s/u,t/a:,ch/i,k/a,k/u,n/o,f/i,q,sh/a:,z/u,h/i,r/u,m/a,d/e,g/u,N,o,sh/i,r/i,z/o,i,t/a
